[2023-06-26 23:52:58] [WARN] - OU Klassengruppen bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe INF18A bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe PKB17A bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe INF17S bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe DRO18A bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe INF17S bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe PKB17A bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe PKB18A bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe INF17S bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe REF18A bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe PKB17A bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe PKB17A bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe INF17A bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe INF17A bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe PKB18A bereits vorhanden
[2023-06-26 23:52:58] [WARN] - Klassengruppe PKB18A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe INF18B bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe BM1_TE18B bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe SPE bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe INF18A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB17B bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB18C bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe AUA17A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB18A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe AUF17A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB18A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB18A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe REF17A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe AUA17A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe Ex bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe BM2_TE18A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB18B bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB17C bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB17B bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB17C bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB18A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB17C bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB17C bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe BM2_TE18B bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB17A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe BM2_TE18A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB18C bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe AUA17A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe AUA17A bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB18B bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB17C bereits vorhanden
[2023-06-26 23:52:59] [WARN] - Klassengruppe VWB18C bereits vorhanden
